"과목 및 유형",2022,2022,2022
"과목 및 유형",평  균 (%),남학생 (%),여학생 (%)
"대상분포(%)",100.0,51.9,48.1
"사교육 참여",78.3,76.9,79.8
"과목: 일반교과 사교육",63.2,61.7,64.8
"국  어",24.9,24.7,25.1
"영  어",52.1,50.8,53.5
"수  학",52.7,51.9,53.5
"사회, 과학",14.0,14.2,13.9
"논  술",10.6,10.4,10.7
"제2외국어, 한문, 컴퓨터 등",6.2,6.6,5.7
"컴퓨터",2.4,2.9,1.8
"제2외국어, 한문 등",4.3,4.2,4.3
"과목: 예체능,취미,교양 사교육",45.3,45.3,45.3
"음  악",18.8,14.0,23.9
"미  술",10.8,7.1,14.7
"체  육",28.3,35.3,20.7
"취미·교양",4.6,3.9,5.4
"과목: 취업관련 사교육",0.5,0.4,0.5
"과목: 진로·진학 학습상담",2.3,2.2,2.3
"유형: 일반교과 사교육",63.2,61.7,64.8
"개인과외",9.9,9.3,10.5
"그룹과외",8.4,8.2,8.6
"학원수강",47.8,46.6,49.1
"방문학습지",10.8,10.8,10.7
"유료인터넷 및 통신강좌 등",11.3,10.5,12.1
"유형: 예체능,취미,교양 사교육",45.3,45.3,45.3
"개인과외",5.0,4.7,5.3
"그룹과외",3.5,3.9,3.1
"학원수강",37.8,37.4,38.3
"방문수업 및 기타",4.1,4.3,3.9
