"과목 및 유형",2022,2022,2022,2022,2022,2022,2022
"과목 및 유형",평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원)
"대상분포(%)",100.0,38.7,15.3,23.4,61.3,44.8,16.5
"사교육비",41.0,47.5,59.6,39.5,36.9,40.1,28.2
"과목: 일반교과 사교육",31.0,36.4,45.6,30.4,27.5,30.2,20.3
"국  어",3.4,4.1,5.3,3.4,3.0,3.2,2.2
"영  어",12.3,14.2,17.4,12.1,11.1,12.2,8.2
"수  학",11.6,13.6,16.9,11.4,10.3,11.2,7.7
"사회, 과학",1.8,2.3,3.1,1.8,1.5,1.6,1.1
"논  술",1.3,1.5,2.0,1.2,1.2,1.3,0.7
"제2외국어, 한문, 컴퓨터 등",0.6,0.7,0.9,0.5,0.5,0.5,0.4
"컴퓨터",0.2,0.3,0.4,0.2,0.2,0.2,0.1
"제2외국어, 한문 등",0.3,0.4,0.5,0.3,0.3,0.3,0.3
"과목: 예체능,취미,교양 사교육",9.8,10.8,13.6,8.9,9.2,9.7,7.7
"음  악",3.0,3.3,4.3,2.7,2.8,2.9,2.5
"미  술",1.7,1.9,2.4,1.6,1.6,1.7,1.2
"체  육",4.3,4.6,5.7,3.9,4.0,4.3,3.4
"취미·교양",0.8,0.9,1.2,0.7,0.7,0.8,0.6
"과목: 취업관련 사교육",0.1,0.1,0.2,0.1,0.1,0.1,0.1
"과목: 진로·진학 학습상담",0.1,0.1,0.2,0.1,0.1,0.2,0.1
"유형: 일반교과 사교육",31.0,36.4,45.6,30.4,27.5,30.2,20.3
"개인과외",3.9,4.7,6.0,3.8,3.4,3.7,2.5
"그룹과외",2.3,2.2,2.3,2.1,2.4,2.5,2.2
"학원수강",22.1,26.9,34.4,21.9,19.1,21.3,13.1
"방문학습지",1.1,1.2,1.2,1.1,1.1,1.2,1.0
"유료인터넷 및 통신강좌 등",1.5,1.5,1.6,1.5,1.5,1.5,1.5
"유형: 예체능,취미,교양 사교육",9.8,10.8,13.6,8.9,9.2,9.7,7.7
"개인과외",1.3,1.6,2.7,1.0,1.0,1.1,0.9
"그룹과외",0.6,0.7,1.0,0.5,0.5,0.5,0.4
"학원수강",7.6,8.1,9.5,7.2,7.3,7.8,6.1
"방문수업 및 기타",0.3,0.4,0.5,0.3,0.3,0.3,0.3
