"과목 및 유형",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"과목 및 유형",평  균 (만원),300만원 미만 (만원),- 200만원 미만 (만원),- 200 ~300만원 미만 (만원),300 ~400만원 미만 (만원),400 ~500만원 미만 (만원),500 ~600만원 미만 (만원),600 ~700만원 미만 (만원),- 700 ~ 800만원 미만 (만원),- 800만원 이상 (만원)
"대상분포(%)",100.0,13.4,4.6,8.8,13.9,16.9,16.8,10.9,8.7,19.4
"사교육비",41.0,17.8,12.4,20.5,27.2,35.1,39.9,46.9,51.8,64.8
"과목: 일반교과 사교육",31.0,12.4,8.0,14.6,19.6,25.9,30.0,35.6,39.9,50.4
"국  어",3.4,1.5,1.0,1.8,2.2,2.8,3.1,3.6,4.3,5.9
"영  어",12.3,4.7,2.8,5.7,8.0,10.6,12.4,14.7,16.0,19.1
"수  학",11.6,5.1,3.5,5.9,7.6,9.8,11.2,13.3,14.6,18.5
"사회, 과학",1.8,0.6,0.4,0.7,0.8,1.3,1.5,1.9,2.4,3.6
"논  술",1.3,0.3,0.1,0.3,0.7,1.0,1.3,1.5,1.9,2.3
"제2외국어, 한문, 컴퓨터 등",0.6,0.3,0.2,0.3,0.3,0.4,0.5,0.6,0.7,1.0
"컴퓨터",0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5
"제2외국어, 한문 등",0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.5
"과목: 예체능,취미,교양 사교육",9.8,5.2,4.2,5.7,7.4,8.9,9.7,11.0,11.6,14.0
"음  악",3.0,1.3,0.8,1.5,2.1,2.8,3.1,3.5,3.6,4.4
"미  술",1.7,0.8,0.6,0.9,1.2,1.5,1.7,2.0,2.2,2.5
"체  육",4.3,2.5,2.2,2.6,3.3,3.9,4.2,4.7,5.0,6.0
"취미·교양",0.8,0.6,0.6,0.6,0.7,0.8,0.7,0.8,0.7,1.1
"과목: 취업관련 사교육",0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"과목: 진로·진학 학습상담",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
"유형: 일반교과 사교육",31.0,12.4,8.0,14.6,19.6,25.9,30.0,35.6,39.9,50.4
"개인과외",3.9,1.1,0.8,1.2,1.8,2.6,3.3,4.2,5.3,8.1
"그룹과외",2.3,0.8,0.5,1.0,1.5,2.1,2.3,3.0,3.0,3.4
"학원수강",22.1,8.6,5.5,10.3,13.8,18.4,21.6,25.5,28.7,35.9
"방문학습지",1.1,0.8,0.6,0.9,1.1,1.1,1.1,1.2,1.3,1.3
"유료인터넷 및 통신강좌 등",1.5,1.0,0.7,1.1,1.4,1.7,1.6,1.7,1.6,1.6
"유형: 예체능,취미,교양 사교육",9.8,5.2,4.2,5.7,7.4,8.9,9.7,11.0,11.6,14.0
"개인과외",1.3,0.3,0.3,0.4,0.6,0.9,1.0,1.4,1.6,2.8
"그룹과외",0.6,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,1.0
"학원수강",7.6,4.2,3.3,4.6,6.1,7.3,7.9,8.8,9.1,9.9
"방문수업 및 기타",0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
